2017-01-03 10:45:46,501 [DEBUG] devpinoyLogger  - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2017-01-03 10:45:46,502 [DEBUG] devpinoyLogger  - Instantiating the driver :firefox
2017-01-03 10:45:46,502 [DEBUG] devpinoyLogger  - Browser to launch is firefox..
2017-01-03 10:45:56,629 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2017-01-03 10:45:56,637 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2017-01-03 10:45:56,638 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2017-01-03 10:45:56,671 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2017-01-03 10:45:56,672 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2017-01-03 10:45:56,673 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2017-01-03 10:45:56,674 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:61697<->127.0.0.1:7055
2017-01-03 10:45:56,674 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
2017-01-03 10:45:56,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session HTTP/1.1
2017-01-03 10:45:56,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2017-01-03 10:45:56,674 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> POST /hub/session HTTP/1.1
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Content-Length: 105
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Host: 127.0.0.1:7055
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Connection: Keep-Alive
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0)
2017-01-03 10:45:56,675 [DEBUG] org.apache.http.headers  - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "POST /hub/session HTTP/1.1[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Content-Length: 105[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Host: 127.0.0.1:7055[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0)[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "[\r][\n]"
2017-01-03 10:45:56,676 [DEBUG] org.apache.http.wire  - http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"firefox","version":"","platform":"ANY"},"requiredCapabilities":{}}"
2017-01-03 10:45:57,007 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2017-01-03 10:45:57,007 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-type: application/json; charset=UTF-8[\r][\n]"
2017-01-03 10:45:57,007 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "connection: close[\r][\n]"
2017-01-03 10:45:57,007 [DEBUG] org.apache.http.wire  - http-outgoing-0 << "content-length: 423[\r][\n]"
